wilayah,komoditas,date,quantity(kg),,,,,,
banda_aceh,bawang_merah_ukuran_sedang,03/02/2023,43750,,,,,,
banda_aceh,bawang_merah_ukuran_sedang,06/02/2023,43750,,,,,,
banda_aceh,bawang_merah_ukuran_sedang,07/02/2023,45000,,,,,,
banda_aceh,bawang_merah_ukuran_sedang,08/02/2023,45000,,,,,,
banda_aceh,bawang_putih,01/02/2023,26750,,,,,,
banda_aceh,bawang_putih,02/02/2023,26750,,,,,,
banda_aceh,bawang_putih,03/02/2023,26750,,,,,,
banda_aceh,bawang_putih,06/02/2023,27000,,,,,,
banda_aceh,bawang_putih,07/02/2023,27000,,,,,,
banda_aceh,bawang_putih,08/02/2023,27000,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,01/02/2023,26750,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,02/02/2023,26750,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,03/02/2023,26750,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,06/02/2023,27000,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,07/02/2023,27000,,,,,,
banda_aceh,bawang_putih_ukuran_sedang,08/02/2023,27000,,,,,,
banda_aceh,cabai_merah,01/02/2023,50000,,,,,,
banda_aceh,cabai_merah,02/02/2023,51500,,,,,,
banda_aceh,cabai_merah,03/02/2023,50750,,,,,,
banda_aceh,cabai_merah,06/02/2023,50750,,,,,,
banda_aceh,cabai_merah,07/02/2023,50750,,,,,,
banda_aceh,cabai_merah,08/02/2023,50750,,,,,,
banda_aceh,cabai_merah_besar,01/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_besar,02/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_besar,03/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_besar,06/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_besar,07/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_besar,08/02/2023,#N/A,,,,,,
banda_aceh,cabai_merah_keriting,01/02/2023,50000,,,,,,
banda_aceh,cabai_merah_keriting,02/02/2023,51500,,,,,,
banda_aceh,cabai_merah_keriting,03/02/2023,50750,,,,,,
banda_aceh,cabai_merah_keriting,06/02/2023,50750,,,,,,
banda_aceh,cabai_merah_keriting,07/02/2023,50750,,,,,,
banda_aceh,cabai_merah_keriting,08/02/2023,50750,,,,,,
banda_aceh,cabai_rawit,01/02/2023,50000,,,,,,
banda_aceh,cabai_rawit,02/02/2023,50000,,,,,,
banda_aceh,cabai_rawit,03/02/2023,48750,,,,,,
banda_aceh,cabai_rawit,06/02/2023,47500,,,,,,
banda_aceh,cabai_rawit,07/02/2023,47500,,,,,,
banda_aceh,cabai_rawit,08/02/2023,48750,,,,,,
banda_aceh,cabai_rawit_hijau,01/02/2023,50000,,,,,,
banda_aceh,cabai_rawit_hijau,02/02/2023,50000,,,,,,
banda_aceh,cabai_rawit_hijau,03/02/2023,48750,,,,,,
banda_aceh,cabai_rawit_hijau,06/02/2023,47500,,,,,,
banda_aceh,cabai_rawit_hijau,07/02/2023,47500,,,,,,
banda_aceh,cabai_rawit_hijau,08/02/2023,48750,,,,,,
banda_aceh,cabai_rawit_merah,01/02/2023,#N/A,,,,,,
banda_aceh,cabai_rawit_merah,02/02/2023,#N/A,,,,,,
banda_aceh,cabai_rawit_merah,03/02/2023,#N/A,,,,,,
banda_aceh,cabai_rawit_merah,06/02/2023,#N/A,,,,,,
banda_aceh,cabai_rawit_merah,07/02/2023,#N/A,,,,,,
banda_aceh,cabai_rawit_merah,08/02/2023,#N/A,,,,,,
banda_aceh,minyak_goreng,01/02/2023,20000,,,,,,
banda_aceh,minyak_goreng,02/02/2023,20000,,,,,,
banda_aceh,minyak_goreng,03/02/2023,20000,,,,,,
banda_aceh,minyak_goreng,06/02/2023,20000,,,,,,
banda_aceh,minyak_goreng,07/02/2023,20000,,,,,,
banda_aceh,minyak_goreng,08/02/2023,20000,,,,,,
banda_aceh,minyak_goreng_curah ,01/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_curah ,02/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_curah ,03/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_curah ,06/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_curah ,07/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_curah ,08/02/2023,16000,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,01/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,02/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,03/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,06/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,07/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_1 ,08/02/2023,22500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,01/02/2023,21500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,02/02/2023,21500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,03/02/2023,21500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,06/02/2023,21500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,07/02/2023,21500,,,,,,
banda_aceh,minyak_goreng_kemasan_bermerek_2,08/02/2023,21500,,,,,,
banda_aceh,gula_pasir,01/02/2023,15650,,,,,,
banda_aceh,gula_pasir,02/02/2023,15650,,,,,,
banda_aceh,gula_pasir,03/02/2023,15650,,,,,,
banda_aceh,gula_pasir,06/02/2023,15650,,,,,,
banda_aceh,gula_pasir,07/02/2023,15650,,,,,,
banda_aceh,gula_pasir,08/02/2023,15650,,,,,,
banda_aceh,gula_pasir_kualitas_premium,01/02/2023,16250,,,,,,
banda_aceh,gula_pasir_kualitas_premium,02/02/2023,16250,,,,,,
banda_aceh,gula_pasir_kualitas_premium,03/02/2023,16250,,,,,,
banda_aceh,gula_pasir_kualitas_premium,06/02/2023,16250,,,,,,
banda_aceh,gula_pasir_kualitas_premium,07/02/2023,16250,,,,,,
banda_aceh,gula_pasir_kualitas_premium,08/02/2023,16250,,,,,,
banda_aceh,gula_pasir_lokal,01/02/2023,15000,,,,,,
banda_aceh,gula_pasir_lokal,02/02/2023,15000,,,,,,
banda_aceh,gula_pasir_lokal,03/02/2023,15000,,,,,,
banda_aceh,gula_pasir_lokal,06/02/2023,15000,,,,,,
banda_aceh,gula_pasir_lokal,07/02/2023,15000,,,,,,
banda_aceh,gula_pasir_lokal,08/02/2023,15000,,,,,,
